,delay_ratio,overrun_ratio
1,75.33011599,1.076396283
2,24.19597369,3.689966068
3,44.77210654,NA
4,51.47386041,1.262611258
5,NA,NA
6,82.48798479,15.56006189
7,90.37110556,30.62799151
8,33.98697899,20.77238094
9,17.22567812,-11.0400193
10,77.5681426,22.74568701
11,76.08367299,-6.861801075
12,57.49814881,NA
13,61.62305015,5.799590669
14,NA,14.3999376
15,48.18039159,16.63149556
16,24.4785226,39.88133962
17,70.60450563,28.29683047
18,147.6215778,17.14384418
19,-9.240946299,2.270003354
20,34.06925572,2.30940357
21,1.087934096,23.46577565
22,0.554306804,7.068382858
23,107.31562,22.22328351
24,113.193141,17.14606559
25,128.437554,-3.540611461
26,NA,11.14497074
27,NA,3.557728404
28,48.57086336,15.7301622
29,17.69716374,NA
30,285.2761538,3.397292013
31,NA,NA
32,359.0008198,-0.286014652
33,43.99377318,NA
34,14.53296317,NA
35,42.28018011,8.558513795
36,-21.73040993,-15.85068395
37,60.22629603,23.50581471
38,65.90959428,7.726692062
39,91.15773246,4.662171717
40,18.42863096,1.764781404
41,19.6152469,3.58055546
42,151.3148888,16.66966771
43,107.441839,6.744044198
44,1.935750757,1.829815174
45,-10.81498038,15.59358199
46,31.07406189,NA
47,NA,NA
48,9.179801737,-1.484974997
49,69.50402946,2.551281089
50,NA,NA
51,286.5159373,NA
52,-37.9559237,33.58648376
53,80.5012693,11.80233353
54,73.75029427,50.13001893
55,173.1517019,11.73904029
56,22.06943176,-1.684724014
57,47.55951514,14.29621457
58,77.46140387,NA
59,72.82165817,NA
60,26.748398,37.80413983
61,31.30766847,39.7247112
62,205.6102226,3.661145299
63,76.95253145,19.20515609
64,104.3507889,41.87775345
65,114.7848042,15.42008064
66,38.18946225,13.88906863
67,101.481336,13.9874109
68,94.62447655,10.66758805
69,NA,NA
70,230.564501,14.83683805
71,NA,NA
72,31.68618996,NA
73,41.35478025,NA
74,134.298256,18.31855842
75,NA,NA
76,NA,NA
77,NA,NA
78,NA,1.462265294
79,138.8430156,14.56392905
80,210.3755129,23.36533588
81,63.8618847,NA
82,NA,1.05553646
83,NA,NA
84,401.7498745,NA
85,10.46962946,3.441694963
86,57.59108221,16.58215235
87,55.65493779,17.34037326
88,31.96961892,14.58727326
89,77.31970384,16.27492012
90,NA,NA
91,76.37374935,17.99651002
92,NA,NA
93,233.3627308,NA
94,NA,NA
95,12.35555024,NA
96,NA,NA
97,NA,NA
98,421.0701425,NA
99,191.1911006,NA
100,13.4850841,NA
101,97.81647548,NA
102,NA,20.45899858
103,26.22148362,10.49181905
104,326.8255733,NA
105,305.7359205,17.02098265
106,91.39681708,16.69855908
107,93.50528492,10.58478027
108,167.4701571,2.57545804
109,67.58680403,16.55786721
110,86.31837314,5.329465839
111,58.01887662,-1.429410893
112,NA,NA
113,105.5677086,NA
114,175.0541811,21.67298784
115,80.73596782,23.25378834
116,NA,14.52857392
117,NA,NA
118,17.30108774,2.431329523
119,NA,NA
120,NA,-0.33951862
121,46.96313523,NA
122,NA,NA
123,90.97930149,4.255296701
124,149.0007202,NA
125,NA,NA
126,NA,NA
127,83.69106625,11.15472221
128,49.24719623,17.09157186
129,53.81629217,NA
130,NA,NA
131,40.65978445,-2.48660511
132,NA,NA
133,79.62166393,NA
134,139.9770011,6.500420266
135,42.59484428,15.89324896
136,57.66728237,14.34970374
137,NA,NA
138,202.1361699,NA
139,61.25492697,NA
140,136.3069359,NA
141,40.86434386,NA
142,340.2281586,NA
143,75.79190371,NA
144,128.2218011,15.7933564
145,28.70471718,NA
146,147.0325114,61.86934883
147,88.48755761,10.43910144
148,NA,NA
149,97.57710017,17.99677641
150,111.3803685,NA
151,NA,NA
152,10.42460435,14.17050948
153,NA,NA
154,129.3463772,14.56526252
155,NA,NA
156,25.13501322,15.026758
157,NA,18.17276919
158,NA,NA
159,NA,NA
160,NA,NA
161,54.35049311,10.86194594
162,NA,NA
163,NA,16.89509981
164,220.3612962,NA
165,49.58669711,6.399175037
166,77.68778015,NA
167,72.16493011,NA
168,69.24687405,NA
169,NA,NA
170,NA,12.67210685
171,43.5859519,7.566329945
172,NA,NA
173,91.3429649,9.823108513
174,NA,NA
175,NA,NA
176,25.58731935,NA
177,NA,NA
178,231.8656125,NA
179,88.50275617,12.86675867
180,101.7165966,2.940691339
181,26.94220196,8.271627758
182,132.2454773,27.74808186
183,118.8446919,23.48259433
184,NA,NA
185,33.35705677,NA
186,40.47075614,3.771692246
187,34.31705368,18.48929981
188,215.6959365,10.73801032
189,103.2603721,11.36547682
190,-27.38972474,15.15204938
191,14.30585873,10.16934903
192,NA,-11.84889039
193,43.50783457,NA
194,42.08126187,37.86437282
195,30.90780521,31.21245227
196,NA,NA
197,12.27112986,22.99066017
198,41.36225656,13.05377373
199,NA,NA
200,NA,NA
201,NA,NA
202,NA,NA
203,75.36470231,NA
204,NA,NA
205,NA,NA
206,17.95787625,9.613733205
207,121.2564523,15.78768919
208,NA,NA
209,NA,NA
210,NA,NA
211,43.9168362,12.19553156
212,101.0180686,12.86224319
213,8.045979918,16.18754455
214,183.2917669,14.987529
215,NA,4.732549299
216,101.983305,NA
217,34.0786451,14.79707161
218,NA,NA
219,58.31447849,4.616923344
220,120.445242,11.65422809
221,57.4425088,12.5141201
222,NA,NA
223,5.959765225,NA
224,40.85573244,-0.986224196
225,NA,2.632673543
226,36.54359549,8.708966283
227,106.2414908,NA
228,45.76475721,15.37349571
229,NA,NA
230,66.59170403,NA
231,NA,NA
232,NA,NA
233,NA,NA
234,NA,NA
235,NA,NA
236,NA,NA
237,NA,NA
238,NA,NA
239,79.71925649,NA
240,NA,NA
241,228.1343278,NA
242,8.53637759,6.907354051
243,NA,NA
244,50.91447676,NA
245,22.31291224,15.00234968
246,NA,NA
247,NA,NA
248,NA,NA
249,35.59490447,NA
250,-5.700103392,63.5246582
251,58.19359749,67.6433484
252,NA,NA
253,NA,NA
254,NA,NA
255,NA,NA
256,85.42213204,10.77744313
257,NA,9.106099032
258,119.1231118,1.404490515
259,38.4508134,NA
260,NA,NA
261,NA,NA
262,73.88803935,NA
263,19.87289343,NA
264,59.44859647,NA
265,NA,NA
266,NA,10.13224787
267,NA,NA
268,NA,NA
269,NA,NA
270,NA,NA
271,NA,NA
272,NA,NA
273,NA,NA
274,NA,NA
275,NA,NA
276,NA,NA
277,NA,NA
278,NA,NA
279,NA,NA
280,NA,NA
281,NA,NA
282,NA,NA
283,NA,NA
284,NA,NA
285,NA,NA
286,NA,NA
287,NA,NA
288,NA,NA
289,NA,NA
290,NA,NA
291,NA,NA
292,NA,NA
293,NA,NA
